4
(name1)	(name2)	(file)	(line)
EnumPrintProcessorDatatypes	EnumPrintProcessorDatatypesW		1
EnumPrintProcessors	EnumPrintProcessorsW		1
EnumPrinterData	EnumPrinterDataW		1
EnumPrinterDataEx	EnumPrinterDataExW		1
EnumPrinterDrivers	EnumPrinterDriversW		1
EnumPrinterKey	EnumPrinterKeyW		1
EnumPrinters	EnumPrintersW		1
EnumProps	EnumPropsW		1
EnumPropsEx	EnumPropsExW		1
EnumProtocols	EnumProtocolsW		1
EnumResourceLanguages	EnumResourceLanguagesW		1
EnumResourceLanguagesEx	EnumResourceLanguagesExW		1
EnumResourceNames	EnumResourceNamesW		1
EnumResourceNamesEx	EnumResourceNamesExW		1
EnumResourceTypes	EnumResourceTypesW		1
EnumResourceTypesEx	EnumResourceTypesExW		1
EnumServicesStatus	EnumServicesStatusW		1
EnumServicesStatusEx	EnumServicesStatusExW		1
EnumSystemCodePages	EnumSystemCodePagesW		1
EnumSystemLanguageGroups	EnumSystemLanguageGroupsW		1
EnumSystemLocales	EnumSystemLocalesW		1
EnumTimeFormats	EnumTimeFormatsW		1
EnumUILanguages	EnumUILanguagesW		1
EnumWindowStations	EnumWindowStationsW		1
EnumerateSecurityPackages	EnumerateSecurityPackagesW		1
ExpandEnvironmentStrings	ExpandEnvironmentStringsW		1
ExpandEnvironmentStringsForUser	ExpandEnvironmentStringsForUserW		1
ExtTextOut	ExtTextOutW		1
ExtractAssociatedIcon	ExtractAssociatedIconW		1
ExtractAssociatedIconEx	ExtractAssociatedIconExW		1
ExtractIcon	ExtractIconW		1
ExtractIconEx	ExtractIconExW		1
FMTID_NULL	GUID_NULL		1
FatalAppExit	FatalAppExitW		1
FileEncryptionStatus	FileEncryptionStatusW		1
FillConsoleOutputCharacter	FillConsoleOutputCharacterW		1
FindActCtxSectionString	FindActCtxSectionStringW		1
FindAtom	FindAtomW		1
FindExecutable	FindExecutableW		1
FindFirstChangeNotification	FindFirstChangeNotificationW		1
FindFirstFile	FindFirstFileW		1
FindFirstFileEx	FindFirstFileExW		1
FindFirstUrlCacheEntry	FindFirstUrlCacheEntryW		1
FindFirstUrlCacheEntryEx	FindFirstUrlCacheEntryExW		1
FindFirstVolume	FindFirstVolumeW		1
FindFirstVolumeMountPoint	FindFirstVolumeMountPointW		1
FindNextFile	FindNextFileW		1
FindNextUrlCacheEntry	FindNextUrlCacheEntryW		1
FindNextUrlCacheEntryEx	FindNextUrlCacheEntryExW		1
FindNextVolume	FindNextVolumeW		1
FindNextVolumeMountPoint	FindNextVolumeMountPointW		1
FindResource	FindResourceW		1
FindResourceEx	FindResourceExW		1
FindText	FindTextW		1
FindWindow	FindWindowW		1
FindWindowEx	FindWindowExW		1
FlatSB_GetScrollPropPtr	FlatSB_GetScrollProp		1
FlatSB_SetScrollPropPtr	FlatSB_SetScrollProp		1
FloppyClassGuid	GUID_DEVINTERFACE_FLOPPY		1
FoldString	FoldStringW		1
FormatMessage	FormatMessageW		1
FreeCredentialHandle	FreeCredentialsHandle		1
FreeEnvironmentStrings	FreeEnvironmentStringsW		1
FreeGPOList	FreeGPOListW		1
FtpCommand	FtpCommandW		1
FtpCreateDirectory	FtpCreateDirectoryW		1
FtpDeleteFile	FtpDeleteFileW		1
FtpFindFirstFile	FtpFindFirstFileW		1
FtpGetCurrentDirectory	FtpGetCurrentDirectoryW		1
FtpGetFile	FtpGetFileW		1
FtpOpenFile	FtpOpenFileW		1
FtpPutFile	FtpPutFileW		1
FtpRemoveDirectory	FtpRemoveDirectoryW		1
FtpRenameFile	FtpRenameFileW		1
FtpSetCurrentDirectory	FtpSetCurrentDirectoryW		1
GUID_CLASS_COMPORT	GUID_DEVINTERFACE_COMPORT		1
GUID_SERENUM_BUS_ENUMERATOR	GUID_DEVINTERFACE_SERENUM_BUS_ENUMERATOR		1
GetAddressByName	GetAddressByNameW		1
GetAllUsersProfileDirectory	GetAllUsersProfileDirectoryW		1
GetAltTabInfo	GetAltTabInfoW		1
GetAppliedGPOList	GetAppliedGPOListW		1
GetAtomName	GetAtomNameW		1
GetBinaryType	GetBinaryTypeW		1
GetCPInfoEx	GetCPInfoExW		1
GetCalendarInfo	GetCalendarInfoW		1
GetCharABCWidths	GetCharABCWidthsW		1
GetCharABCWidthsFloat	GetCharABCWidthsFloatW		1
GetCharWidth	GetCharWidthW		1
GetCharWidth32	GetCharWidth32W		1
GetCharWidthFloat	GetCharWidthFloatW		1
GetCharacterPlacement	GetCharacterPlacementW		1
GetClassInfo	GetClassInfoW		1
GetClassInfoEx	GetClassInfoExW		1
GetClassLong	GetClassLongW		1
GetClassLongPtr	GetClassLongW		1
GetClassLongPtrA	GetClassLongA		1
GetClassLongPtrW	GetClassLongW		1
GetClassName	GetClassNameW		1
GetClipboardFormatName	GetClipboardFormatNameW		1
GetCommandLine	GetCommandLineW		1
GetCompressedFileSize	GetCompressedFileSizeW		1
GetComputerName	GetComputerNameW		1
GetComputerNameEx	GetComputerNameExW		1
GetConsoleAlias	GetConsoleAliasW		1
GetConsoleAliasExes	GetConsoleAliasExesW		1
GetConsoleAliasExesLength	GetConsoleAliasExesLengthW		1
GetConsoleAliases	GetConsoleAliasesW		1
GetConsoleAliasesLength	GetConsoleAliasesLengthW		1
GetConsoleTitle	GetConsoleTitleW		1
GetCurrencyFormat	GetCurrencyFormatW		1
GetCurrentDirectory	GetCurrentDirectoryW		1
GetCurrentHwProfile	GetCurrentHwProfileW		1
GetDateFormat	GetDateFormatW		1
GetDefaultCommConfig	GetDefaultCommConfigW		1
GetDefaultPrinter	GetDefaultPrinterW		1
GetDefaultUserProfileDirectory	GetDefaultUserProfileDirectoryW		1
GetDeviceDriverBaseName	GetDeviceDriverBaseNameW		1
GetDeviceDriverFileName	GetDeviceDriverFileNameW		1
GetDiskFreeSpace	GetDiskFreeSpaceW		1
GetDiskFreeSpaceEx	GetDiskFreeSpaceExW		1
GetDlgItemText	GetDlgItemTextW		1
GetDriveType	GetDriveTypeW		1
GetEnhMetaFile	GetEnhMetaFileW		1
GetEnhMetaFileDescription	GetEnhMetaFileDescriptionW		1
GetEnvironmentStrings	GetEnvironmentStringsW		1
GetEnvironmentVariable	GetEnvironmentVariableW		1
GetExceptionCode	_exception_code		1
GetExpandedName	GetExpandedNameW		1
GetFileAttributes	GetFileAttributesW		1
GetFileAttributesEx	GetFileAttributesExW		1
GetFileSecurity	GetFileSecurityW		1
GetFileTitle	GetFileTitleW		1
GetFileVersionInfo	GetFileVersionInfoW		1
GetFileVersionInfoEx	GetFileVersionInfoExW		1
GetFileVersionInfoSize	GetFileVersionInfoSizeW		1
GetFileVersionInfoSizeEx	GetFileVersionInfoSizeExW		1
GetFirmwareEnvironmentVariable	GetFirmwareEnvironmentVariableW		1
GetForm	GetFormW		1
GetFullPathName	GetFullPathNameW		1
GetGPOList	GetGPOListW		1
GetGeoInfo	GetGeoInfoW		1
GetGlyphIndices	GetGlyphIndicesW		1
GetGlyphOutline	GetGlyphOutlineW		1
GetICMProfile	GetICMProfileW		1
GetJob	GetJobW		1
GetKerningPairs	GetKerningPairsW		1
GetKeyNameText	GetKeyNameTextW		1
GetKeyboardLayoutName	GetKeyboardLayoutNameW		1
GetLocaleInfo	GetLocaleInfoW		1
